City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date
Meulaboh,ID,4.1363,96.1285,75.92,89,100,5.5,1619274570
Poronaysk,RU,49.2167,143.1167,31.84,92,100,5.7,1619274570
Bandarbeyla,SO,9.4942,50.8122,85.1,69,47,13.69,1619274570
Haines Junction,CA,60.7522,-137.5108,19.4,93,12,2.3,1619274571
Barinas,VE,8.6226,-70.2075,66.2,100,91,5.75,1619274571
Portland,US,45.5234,-122.6762,45.5,88,100,1.99,1619274571
Tucumcari,US,35.1717,-103.725,50.0,53,1,3.44,1619274571
Westport,US,41.1415,-73.3579,59.5,50,1,11.5,1619274571
Eilat,IL,29.5581,34.9482,96.8,17,0,16.11,1619274572
Andenes,NO,69.3143,16.1194,35.74,80,75,8.05,1619274572
Faanui,PF,-16.4833,-151.75,79.57,75,100,7.14,1619274572
Brae,GB,60.3964,-1.353,46.4,87,90,9.22,1619274572
Kuril'sk,RU,45.2333,147.8833,34.3,94,100,5.68,1619274572
Severobaykal'sk,RU,55.65,109.3167,33.42,72,100,3.85,1619274572
Pangody,RU,65.85,74.4859,33.8,89,100,8.41,1619274572
Erenhot,CN,43.6475,111.9767,60.17,28,100,21.12,1619274365
Abu Dhabi,AE,24.4667,54.3667,92.17,43,0,8.05,1619274573
Kushima,JP,31.4583,131.2333,59.81,81,54,6.53,1619274362
Praia,CV,14.9215,-23.5087,78.8,53,20,23.02,1619274573
Melilla,ES,35.2937,-2.9383,63.07,77,90,11.5,1619274573
Marrakesh,MA,31.6315,-8.0083,75.2,50,75,8.05,1619274573
Henties Bay,NA,-22.116,14.2845,63.0,87,5,10.0,1619274573
Olmos,PE,-5.9847,-79.7453,73.99,76,7,1.01,1619274573
Warrnambool,AU,-38.3833,142.4833,51.01,95,100,6.73,1619274543
Paramirim,BR,-13.4425,-42.2389,86.23,46,1,3.04,1619274574
Vao,NC,-22.6667,167.4833,76.19,67,100,9.33,1619274574
Ridgecrest,US,35.6225,-117.6709,58.73,29,1,5.48,1619274574
Newburn,GB,54.9876,-1.7442,51.82,62,40,9.22,1619274576
Soe,ID,-9.8607,124.284,64.8,94,30,4.07,1619274576
Zonguldak,TR,41.25,31.8333,54.1,76,100,5.99,1619274576
Tabou,CI,4.423,-7.3528,86.81,69,87,11.59,1619274576
Chapais,CA,49.7834,-74.8492,39.2,45,1,11.5,1619274576
Natal,BR,-5.795,-35.2094,86.94,62,40,12.66,1619274576
Bulgan,MN,48.8125,103.5347,32.85,98,100,7.31,1619274576
Bang Saphan,TH,11.2126,99.5117,79.43,84,100,5.19,1619274577
Teya,RU,60.3778,92.6267,34.48,97,100,1.3,1619274577
Adrar,MR,20.5022,-10.0711,97.39,9,0,9.15,1619274577
Chulym,RU,55.0997,80.9572,40.26,64,11,5.93,1619274577
Nabire,ID,-3.3667,135.4833,76.46,90,100,2.62,1619274577
Sangar,RU,63.9242,127.4739,10.92,96,70,3.71,1619274577
Umarkot,PK,25.3616,69.7362,99.72,9,55,9.64,1619274577
Oswego,US,43.4501,-76.1497,59.0,38,1,8.05,1619274578
Yar-Sale,RU,66.8333,70.8333,33.4,91,99,6.22,1619274578
Durango,MX,24.8333,-104.8333,55.29,22,37,1.81,1619274578
Cidreira,BR,-30.1811,-50.2056,73.87,67,53,11.83,1619274578
Flinders,AU,-34.5833,150.8552,52.57,80,28,1.01,1619274578
Mount Gambier,AU,-37.8333,140.7667,48.2,100,75,6.91,1619274578
Malanje,AO,-9.5402,16.341,75.2,94,90,6.91,1619274579
Riyadh,SA,24.6877,46.7219,99.73,9,0,6.91,1619274571
The Valley,AI,18.217,-63.0578,83.08,65,40,14.97,1619274579
Mokrousovo,RU,55.8103,66.7653,47.25,41,100,11.9,1619274580
Inhambane,MZ,-23.865,35.3833,80.6,54,20,9.26,1619274580
Salé,MA,34.0389,-6.8166,68.58,68,40,8.05,1619274580
Saurimo,AO,-9.6608,20.3916,77.0,69,75,5.61,1619274580
Genhe,CN,50.7833,121.5167,36.27,40,10,3.06,1619274580
Sungurlu,TR,40.1675,34.3739,69.24,35,78,3.51,1619274580
Vostok,RU,46.4856,135.8833,31.6,59,99,5.44,1619274580
Lata,PT,40.1629,-8.3327,65.08,88,75,9.22,1619274581
Mosquera,CO,4.7059,-74.2302,62.6,59,20,6.91,1619274581
Marsh Harbour,BS,26.5412,-77.0636,74.88,68,100,15.66,1619274581
Turukhansk,RU,65.8167,87.9833,34.56,98,94,11.86,1619274581
Skjervøy,NO,70.0311,20.9714,34.3,61,100,17.11,1619274581
Norrtälje,SE,59.758,18.705,39.4,56,40,12.66,1619274582
Makakilo City,US,21.3469,-158.0858,71.15,68,1,5.75,1619274582
Isil'kul',RU,54.9109,71.2728,48.49,32,100,10.83,1619274582
Mount Isa,AU,-20.7333,139.5,77.0,27,40,12.66,1619274582
Distrikt Brokopondo,SR,4.75,-55.1667,77.31,90,100,2.75,1619274583
Worland,US,44.0169,-107.9554,35.22,80,1,5.75,1619274583
Avera,US,33.194,-82.5271,57.72,96,90,9.22,1619274583
Hervey Bay,AU,-25.2986,152.8535,64.0,80,0,1.01,1619274460
‘Ewa Beach,US,21.3156,-158.0072,71.31,68,1,5.75,1619274583
Inírida,CO,3.8653,-67.9239,76.08,95,97,2.71,1619274583
Saint Anthony,US,45.0205,-93.218,35.26,80,90,12.66,1619274583
Camapuã,BR,-19.5314,-54.0439,87.8,25,26,6.93,1619274583
Chicama,PE,-7.8447,-79.1469,62.6,94,90,9.22,1619274584
Pacific Grove,US,36.6177,-121.9166,48.65,90,100,2.19,1619274584
Oulainen,FI,64.2667,24.8,36.0,93,99,4.0,1619274584
Deputatsky,RU,69.3,139.9,-1.71,91,98,5.21,1619274585
Port-Cartier,CA,50.0334,-66.8654,44.65,65,20,9.22,1619274585
Port Hardy,CA,50.6996,-127.4199,45.3,100,90,2.1,1619274585
Imbituba,BR,-28.24,-48.6703,75.2,69,20,5.75,1619274585
Cabedelo,BR,-6.9811,-34.8339,84.2,79,75,10.36,1619274585
Toledo,ES,39.8333,-4.0,64.9,53,100,10.56,1619274585
La Rioja,ES,42.25,-2.5,69.53,40,0,16.11,1619274585
Yatou,CN,37.15,122.3833,50.81,75,0,7.18,1619274585
Araouane,ML,18.9048,-3.5265,105.12,6,0,5.12,1619274586
Phang Nga,TH,8.4509,98.5298,82.69,83,20,11.5,1619274448
Chu,KZ,43.5983,73.7614,57.0,48,100,10.0,1619274586
Balabac,PH,7.9868,117.0645,80.28,82,89,7.31,1619274586
Rawson,AR,-43.3002,-65.1023,55.8,59,0,4.34,1619274586
Arinos,BR,-15.9169,-46.1056,87.75,34,28,2.73,1619274586
Vila Franca do Campo,PT,37.7167,-25.4333,59.0,82,40,17.27,1619274586
Necochea,AR,-38.5473,-58.7368,64.99,70,0,11.01,1619274586
Tyukhtet,RU,56.5389,89.3011,33.53,92,100,1.54,1619274587
Bereket,TM,39.2446,55.5154,77.86,35,81,12.3,1619274587
Phibun Mangsahan,TH,15.2447,105.2291,92.39,62,85,3.44,1619274587
Hong Gai,VN,20.956,107.0946,82.4,89,75,9.22,1619274587
Gualeguay,AR,-33.1416,-59.3097,67.53,77,69,12.24,1619274588
Kivsharivka,UA,49.6213,37.7036,49.06,50,100,17.81,1619274588
Anadyr,RU,64.75,177.4833,30.09,100,75,6.71,1619274588
Ratangarh,IN,28.0833,74.6,86.76,12,0,10.42,1619274588
Itarema,BR,-2.9248,-39.9167,85.89,67,79,12.06,1619274588
Smithers,CA,54.7804,-127.1743,35.6,60,20,4.61,1619274588
Khani,GE,41.9563,42.9566,66.2,52,0,12.66,1619274589
Xiangxiang,CN,27.7333,112.5333,56.48,93,100,15.73,1619274589
Taoudenni,ML,22.6783,-3.9836,104.31,6,0,12.66,1619274589
Cockburn Town,TC,21.4612,-71.1419,78.28,77,42,20.04,1619274476
Gumdag,TM,39.2061,54.5906,78.28,33,46,8.03,1619274589
San Quintín,MX,30.4833,-115.95,56.66,85,20,8.37,1619274589
Mata Grande,BR,-9.1175,-37.7322,84.97,46,41,7.87,1619274589
Cayhagan,PH,9.6697,122.4256,79.99,78,97,2.24,1619274589
Muisne,EC,0.6,-80.0333,78.8,94,75,6.91,1619274590
Reconquista,AR,-29.15,-59.65,65.53,96,100,5.14,1619274590
Linqu,CN,36.5156,118.5397,51.69,87,97,5.23,1619274398
Buala,SB,-8.145,159.5921,79.95,82,54,2.35,1619274590
San Javier,ES,37.8063,-0.8374,63.73,77,40,23.02,1619274590
Channel-Port aux Basques,CA,47.5702,-59.1367,36.1,95,100,17.98,1619274590
Lao Cai,VN,22.4833,103.95,82.02,81,9,1.77,1619274530
Lichinga,MZ,-13.3128,35.2406,75.11,69,75,8.05,1619274591
Bathsheba,BB,13.2167,-59.5167,86.0,51,40,23.02,1619274591
Torbay,CA,47.6666,-52.7314,46.4,61,75,19.57,1619274591
Tambun,ID,-6.2641,107.0712,84.15,74,20,3.44,1619274591
Santiago del Estero,AR,-27.7951,-64.2615,67.84,81,80,12.37,1619274591
Sola,VU,-13.8833,167.55,81.82,78,86,12.48,1619274592
Rabo de Peixe,PT,37.8,-25.5833,59.0,82,40,17.27,1619274592
Port-Gentil,GA,-0.7193,8.7815,86.0,70,75,17.9,1619274592
Vila,PT,42.0304,-8.1588,70.0,57,99,1.01,1619274592
Benjamin Constant,BR,-4.3831,-70.0311,81.46,78,40,4.61,1619274592
Pitimbu,BR,-7.4706,-34.8086,84.2,79,75,10.36,1619274592
Sabha,LY,27.0377,14.4283,94.75,12,5,13.09,1619274592
Serenje,ZM,-13.2325,30.2352,69.84,62,100,8.81,1619274593
San Roque,ES,36.2107,-5.3842,60.8,94,90,23.02,1619274593
Umm Hājar,TD,13.2954,19.6966,105.4,11,100,3.18,1619274593
Viranşehir,TR,37.2353,39.7631,83.68,17,0,3.94,1619274593
Tuy Hoa,VN,13.0833,109.3,79.41,87,21,4.29,1619274507
Zhiryatino,RU,53.2228,33.7306,37.4,81,75,13.42,1619274594
Mūvattupula,IN,9.9667,76.5833,78.8,89,75,5.75,1619274594
San Diego de Los Baños,CU,22.6467,-83.3697,84.2,58,95,12.59,1619274594
Guerrero Negro,MX,27.9769,-114.0611,58.19,84,31,12.12,1619274594
Belmonte,BR,-15.8631,-38.8828,84.2,65,40,9.22,1619274594
Nortelândia,BR,-14.4547,-56.8028,88.18,52,8,4.0,1619274594
Hwange,ZW,-18.3693,26.5019,88.0,22,6,2.95,1619274595
Rio Grande,BR,-32.035,-52.0986,73.2,68,20,6.91,1619274595
Saskylakh,RU,71.9167,114.0833,32.86,93,100,14.18,1619274595
Ronneby,SE,56.21,15.276,48.2,31,0,13.8,1619274595
El Escaño de Tepale,HN,14.75,-87.0667,71.6,88,40,5.75,1619274596
Mopipi,BW,-21.1833,24.8833,83.97,13,0,3.98,1619274596
La Romana,DO,18.4273,-68.9728,84.2,65,40,8.05,1619274596
Ürümqi,CN,43.801,87.6005,41.0,48,0,6.71,1619274389
Villazón,BO,-22.0866,-65.5942,51.12,15,0,17.45,1619274596
San Cristobal,VE,7.7669,-72.225,82.4,69,40,5.75,1619274596
Laas,IT,46.6166,10.7002,68.02,27,0,3.44,1619274596
Dragør,DK,55.5946,12.6664,47.79,27,0,16.11,1619274596
Fukuechō,JP,32.6881,128.8419,62.01,83,12,12.39,1619274596
Antalaha,MG,-14.9003,50.2788,77.4,87,12,9.28,1619274597
Drovyanaya,RU,51.5833,113.0333,33.8,44,100,6.71,1619274597
Faya,SA,18.3851,42.4509,72.5,28,40,8.05,1619274597
Narsaq,GL,60.9167,-46.05,59.0,26,20,19.57,1619274597
Miramar,US,25.9873,-80.2323,80.91,69,40,16.11,1619274597
Kahului,US,20.8947,-156.47,67.77,88,1,14.97,1619274597
Quatre Cocos,MU,-20.2078,57.7625,79.43,89,75,9.22,1619274597
Charter Township of Clinton,US,42.587,-82.9199,53.1,71,75,5.75,1619274598
Sandpoint,US,48.2766,-116.5533,41.27,70,1,2.82,1619274474
Pemba,MZ,-12.974,40.5178,75.2,100,75,11.5,1619274598
Leningradskiy,RU,69.3833,178.4167,17.92,96,100,3.91,1619274598
Moerai,PF,-22.4333,-151.3333,76.37,65,44,12.5,1619274598
Bollnäs,SE,61.3482,16.3946,46.99,38,100,5.99,1619274598
Kiryat Gat,IL,31.61,34.7642,73.99,30,0,1.99,1619274598
Ryōtsu-minato,JP,38.0833,138.4333,53.67,68,100,4.85,1619274476
Cayenne,GF,4.9333,-52.3333,77.0,100,75,8.05,1619274599
Esim,GH,4.8699,-2.2405,86.97,66,99,8.9,1619274599
Gogrial,SS,8.5332,28.1004,100.09,25,82,4.41,1619274599
Maromitsa,RU,59.8683,48.0123,51.01,66,77,10.16,1619274600
Bisira,PA,8.5196,-81.7115,66.49,74,100,4.9,1619274600
Ixtapa,MX,20.7,-105.2,72.39,78,75,4.61,1619274600
Bodhan,IN,18.6667,77.9,93.81,16,43,2.89,1619274601
Lorengau,PG,-2.0226,147.2712,80.44,77,65,4.23,1619274601
Lashio,MM,22.9333,97.75,76.37,38,3,1.74,1619274601
Ossora,RU,59.2353,163.0719,30.18,98,100,3.67,1619274601
Yumen,CN,40.2833,97.2,55.17,22,100,7.76,1619274601
Stolin,BY,51.8912,26.846,45.86,43,98,10.49,1619274601
Krasyliv,UA,49.6519,26.9725,46.0,45,100,12.48,1619274602
Alice Springs,AU,-23.7,133.8833,57.2,51,2,8.05,1619274348
Mwense,ZM,-10.3845,28.698,76.89,64,67,4.65,1619274602
Sompeta,IN,18.9333,84.6,82.24,76,3,9.04,1619274602
Coquimbo,CL,-29.9533,-71.3436,59.0,72,0,4.61,1619274603
Sitka,US,57.0531,-135.33,44.6,45,40,5.53,1619274603
Matara,LK,5.9485,80.5353,78.75,88,66,5.21,1619274604
Vigrestad,NO,58.5667,5.7,45.79,53,0,26.46,1619274604
Shar'ya,RU,58.3686,45.5144,51.57,66,100,12.03,1619274604
Zhigansk,RU,66.7697,123.3711,33.66,98,100,11.21,1619274605
Marsá Maţrūḩ,EG,31.3525,27.2453,77.0,23,0,11.5,1619274605
Cervo,ES,43.6702,-7.4101,71.01,52,99,10.0,1619274605
Clyde River,CA,70.4692,-68.5914,14.0,92,75,5.75,1619274605
Mayo,US,38.8876,-76.5119,58.37,44,1,3.4,1619274605
Tūkrah,LY,32.5341,20.5791,65.89,76,38,15.57,1619274606
Kaabong,UG,3.4836,34.1492,76.3,50,96,9.91,1619274606
Launceston,AU,-41.45,147.1667,45.01,71,75,4.61,1619274606
Sulangan,PH,11.1373,123.7228,82.71,75,100,7.67,1619274606
Farias Brito,BR,-6.9306,-39.5656,86.81,51,89,4.61,1619274606
Mollendo,PE,-17.0231,-72.0147,68.74,73,58,7.87,1619274606
Puerto Quijarro,BO,-17.7833,-57.7667,93.38,34,97,5.26,1619274607
Shache,CN,38.4167,77.2406,65.61,9,87,5.73,1619274607
Santo Estêvão,BR,-12.4303,-39.2514,89.42,44,42,7.49,1619274607
Nioro,GM,13.35,-15.75,100.22,11,25,7.99,1619274607
Drumheller,CA,51.4617,-112.7101,29.46,63,98,2.3,1619274607
Contamana,PE,-7.3333,-75.0167,86.54,60,19,4.29,1619274607
Ténenkou,ML,14.4572,-4.9169,107.24,7,34,6.11,1619274607
Goundam,ML,16.4145,-3.6708,106.43,7,86,6.26,1619274608
Sørland,NO,67.667,12.6934,37.4,56,40,13.8,1619274608
Colares,PT,38.7992,-9.4469,67.06,82,20,13.8,1619274608
Neiafu,TO,-18.65,-173.9833,75.2,94,40,12.39,1619274608
Diu,IN,20.7141,70.9822,82.63,69,100,12.77,1619274608
Vrangel',RU,42.7297,133.0839,41.58,61,3,7.87,1619274608
Mizoch,UA,50.4,26.15,46.2,36,40,15.66,1619274608
Amboasary,MG,-25.0333,46.3833,77.0,78,40,18.41,1619274609
Tokuyama,JP,34.05,131.8167,59.83,59,40,6.91,1619274375
Lahān,NP,26.7296,86.4951,88.97,15,0,6.96,1619274609
Byron Bay,AU,-28.65,153.6167,55.8,94,88,3.47,1619274609
Taksimo,RU,56.3444,114.8794,30.18,84,100,1.1,1619274609
Saint-Augustin,CA,51.226,-58.6502,36.59,84,97,12.17,1619274609
Ati,TD,13.2154,18.3353,106.27,9,100,3.4,1619274609
Whitehorse,CA,60.7161,-135.0538,26.91,74,20,2.3,1619274610
Nizwá,OM,22.9333,57.5333,93.0,12,79,5.08,1619274610
Villaviciosa,ES,43.4813,-5.4357,67.95,56,73,1.99,1619274610
Jaciara,BR,-15.9653,-54.9683,91.44,35,3,1.34,1619274610
Saa,CM,4.3667,11.45,80.8,64,100,6.31,1619274610
Sandnessjøen,NO,66.0217,12.6316,38.26,65,40,12.66,1619274610
Namatanai,PG,-3.6667,152.4333,78.6,81,58,6.55,1619274610
Oussouye,SN,12.485,-16.5469,95.0,38,0,4.61,1619274610
Fuling,CN,29.7022,107.3919,64.51,94,100,2.82,1619274611
Moranbah,AU,-22.0016,148.0466,66.22,82,100,11.56,1619274450
Shetpe,KZ,44.1667,52.1167,68.54,26,91,7.27,1619274611
Paraopeba,BR,-19.2757,-44.4033,78.8,53,20,5.75,1619274611
Margosatubig,PH,7.5777,123.1658,79.23,82,17,2.71,1619274611
Caucayá,CO,-0.1934,-74.7819,83.08,73,86,2.19,1619274611
Secunda,ZA,-26.55,29.1667,71.98,32,2,7.0,1619274611
Lacolle,CA,45.0834,-73.3659,54.1,44,100,12.66,1619274612
Fomboni,KM,-12.28,43.7425,81.75,76,81,8.21,1619274612
Lungi,SL,9.2212,-12.6831,99.21,29,30,9.35,1619274612
Dondo,MZ,-19.6094,34.7431,80.6,61,20,7.58,1619274612
Karratha,AU,-20.7377,116.8463,80.37,47,0,4.27,1619274612
Carballo,ES,43.213,-8.691,63.05,90,100,1.99,1619274612
Kumul,CN,42.8,93.45,55.0,17,0,13.47,1619274569
Solnechnyy,RU,50.7214,136.6319,30.42,85,96,9.71,1619274612
Barvikha,RU,55.74,37.27,41.34,87,75,15.66,1619274613
Mucurapo,TT,10.6667,-61.5333,84.99,66,40,13.8,1619274613
Slave Lake,CA,55.2834,-114.769,24.8,68,40,2.3,1619274613
Asunción Mita,GT,14.3308,-89.7108,76.14,69,0,4.29,1619274613
Tarpon Springs,US,28.1461,-82.7568,77.34,73,75,11.5,1619274613
Tual,ID,-5.6667,132.75,85.24,66,98,16.93,1619274614
Honiara,SB,-9.4333,159.95,77.83,82,48,3.38,1619274614
Umluj,SA,25.0213,37.2685,82.08,56,0,5.37,1619274614
Devgarh,IN,25.5333,73.9,83.95,6,36,7.61,1619274614
Amazar,RU,53.858,120.875,34.48,60,40,2.95,1619274615
Novo Aripuanã,BR,-5.1206,-60.3797,84.65,70,95,2.33,1619274616
Mezen',RU,65.8522,44.24,57.87,44,100,8.5,1619274616
Lakes Entrance,AU,-37.8811,147.981,52.0,85,75,9.57,1619274616
Lerwick,GB,60.1545,-1.1494,46.4,87,90,9.22,1619274616
Kismayo,SO,-0.3582,42.5454,83.14,72,99,13.58,1619274616
Marzuq,YE,14.4,46.4667,79.68,45,8,16.82,1619274617
Virār,IN,19.4667,72.8,86.0,74,100,8.05,1619274617
Fairbanks,US,64.8378,-147.7164,31.15,69,1,10.36,1619274618
Marawi,PH,7.9986,124.2928,79.0,85,45,4.0,1619274618
Pacifica,US,37.6138,-122.4869,48.45,93,90,3.44,1619274618
Batagay-Alyta,RU,67.8006,130.4114,18.48,83,100,5.46,1619274618
Eyl,SO,7.9803,49.8164,83.75,71,9,11.45,1619274619
Podor,MR,16.6527,-14.9587,102.83,10,13,10.98,1619274619
Salalah,OM,17.0151,54.0924,82.69,72,7,7.94,1619274619
Torrelavega,ES,43.3494,-4.0479,69.44,55,56,5.01,1619274619
Oktyabr'skiy,RU,54.4815,53.471,43.75,88,100,6.15,1619274620
Grong,NO,64.4654,12.3149,36.25,70,39,13.76,1619274620
Owando,CG,-0.4819,15.8999,76.64,78,100,3.02,1619274621
Tataouine,TN,32.9297,10.4518,73.4,33,0,9.22,1619274621
Abū Zabad,SD,12.35,29.25,100.51,16,64,16.89,1619274621
Turtas,RU,58.9417,69.1325,46.38,48,100,5.08,1619274621
Palanga,LT,55.9175,21.0686,42.8,61,75,6.91,1619274621
Najrān,SA,17.4924,44.1277,91.4,15,75,6.91,1619274621
Litovko,RU,49.2361,135.1742,35.87,41,93,10.16,1619274621
Sinnamary,GF,5.3833,-52.95,79.18,87,100,11.63,1619274621
Oranjemund,NA,-28.55,16.4333,64.33,74,10,9.98,1619274622
Meadow Lake,US,34.8014,-106.5436,47.26,45,1,9.01,1619274622
Stara Vyzhivka,UA,51.4376,24.44,46.22,49,97,12.5,1619274622
Lima,PE,-12.0432,-77.0282,63.68,88,90,5.75,1619274544
